State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York (City and State),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
New York City,--,0,--,0,--,--,201,--,--,--,--,0,0,--,--,0,0,--,--,--,--,52,--,--,--,0,--,--,--,--,"1,647",--,"84,330",--,--,--,--,0,255,--,--,0,0,--,0,--,--,--,--,0,0,--,--,--,110,0,387,"87,273"
North Carolina,--,--,--,0,--,--,--,--,--,--,122,--,0,--,--,0,--,--,--,--,--,0,--,--,--,0,0,0,0,0,--,--,--,"25,427",0,--,--,--,--,0,"3,816",0,58,--,--,0,804,--,--,0,0,0,0,0,0,0,176,"30,596"
North Dakota,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,--,--,--,0,0,0,0,--,0,831,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,"1,290"
Ohio,--,0,0,0,--,--,--,--,0,--,--,--,0,--,390,0,--,840,0,--,--,0,87,--,--,0,0,0,0,0,--,0,--,--,0,"26,959",0,0,214,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,113,0,"28,721"
Oklahoma,0,0,--,75,--,0,0,0,0,0,0,--,--,--,0,0,160,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,--,0,0,--,"6,042",--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,"6,430"
Oregon,0,--,--,0,--,--,0,0,0,--,0,--,--,--,0,0,0,--,0,0,0,--,0,0,0,--,--,0,--,0,--,0,0,0,--,0,0,"9,547",--,0,0,--,--,--,--,0,0,"1,066",0,0,0,0,--,0,0,--,77,"10,801"
Pennsylvania,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,485,0,--,0,0,294,0,0,"35,684",0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,88,0,"37,284"
Rhode Island,0,0,0,0,--,0,--,--,--,--,0,--,0,0,0,0,0,0,0,--,--,901,0,0,0,0,0,0,0,--,--,0,--,0,0,0,0,--,--,"3,363",0,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,"4,326"
South Carolina,--,0,0,0,--,--,--,--,0,--,102,0,0,0,0,0,0,--,0,0,--,0,--,0,0,--,0,0,0,0,0,0,--,135,0,--,0,0,--,0,"6,613",0,--,0,0,0,--,0,--,0,0,0,--,0,0,--,--,"6,911"
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,70,0,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,--,652,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,769
Tennessee,59,0,--,713,--,0,--,0,--,--,73,0,0,--,--,--,0,938,--,0,0,--,--,0,"2,008",72,0,0,--,0,--,0,--,--,0,--,0,0,--,0,--,--,"13,446",--,0,0,--,0,0,--,0,0,0,0,--,0,0,"17,474"
Texas,--,--,--,--,--,--,0,0,--,--,--,0,0,--,--,--,--,--,765,0,--,--,--,--,--,--,--,--,0,0,--,488,--,--,0,--,342,--,--,0,--,--,--,"74,615",--,0,--,--,--,--,--,0,--,656,--,--,489,"77,630"
Utah,0,0,0,0,--,--,0,0,0,--,--,0,217,0,0,--,0,0,0,0,0,--,--,0,0,--,0,0,--,0,--,0,--,0,0,0,0,--,--,0,0,0,0,--,"3,270",0,0,--,0,0,128,0,0,0,0,0,0,"3,665"
Vermont,0,0,0,0,--,--,--,0,0,--,0,0,0,--,0,0,0,--,0,--,--,--,0,0,0,0,0,0,0,--,--,0,--,0,0,0,0,0,--,--,0,0,0,0,0,"1,226",0,--,0,0,--,0,0,0,--,0,--,"1,319"
Virginia,--,0,--,0,--,--,--,--,288,--,--,0,0,--,--,--,0,--,--,--,862,--,0,--,--,--,0,0,--,0,--,--,--,491,0,--,0,0,--,0,--,--,--,--,0,--,"25,527",--,72,--,0,0,0,0,--,0,0,"27,442"
Washington,--,186,--,0,--,0,0,0,0,--,--,--,467,--,0,0,--,0,0,--,--,--,0,--,0,--,--,0,--,--,0,--,--,--,0,--,0,276,--,0,0,0,0,--,0,0,--,"21,576",0,--,--,0,--,--,--,0,--,"22,672"
West Virginia,0,0,0,0,0,0,0,--,0,--,0,0,0,0,--,0,0,88,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,0,84,0,0,--,0,0,0,--,0,0,0,--,0,"1,568",0,0,0,0,0,0,0,--,"1,772"
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,--,0,0,0,0,0,0,160,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,299",0,0,0,0,--,--,0,"8,542"
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0, -- 
Total by residence,"9,749","2,079","10,298","4,820",--,"10,735","13,651",--,"1,554",--,"30,264","3,342","2,381","42,226","11,687","5,132","4,987","5,799","7,578","2,355",--,"23,252","22,175","11,908","6,193","13,534","1,977","2,400","8,892",--,"29,231","5,414","115,629","26,300",926,"27,604","6,615","9,893","37,901","3,512","11,762",883,"14,350","74,962","3,448","1,246","27,084","22,675","2,169","9,600",782,--,111,666,--,"3,744","3,963","784,507"
